Date,Time,V,I,PF,KW,ENERGY,TOTAL ENERGY
9/1/2014,12:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,12:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,1:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,1:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,2:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,2:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,3:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,3:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,4:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,4:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,5:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,5:30:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,6:00:00 AM,0,0,0,0.00,0.00,0.00
9/1/2014,6:30:00 AM,246.88,11.17777754,0.54,4.78,2.39,2.39
9/1/2014,7:00:00 AM,247.5,23.3279679,0.56,10.00,5.00,7.39
9/1/2014,7:30:00 AM,246.87,52.3205455,0.55,22.37,11.19,18.58
9/1/2014,8:00:00 AM,247,64.2817739,0.54,27.50,13.75,32.33
9/1/2014,8:30:00 AM,246.67,79.89295556,0.54,34.13,17.07,49.39
9/1/2014,9:00:00 AM,246.74,93.5992876,0.53,40.00,20.00,69.39
9/1/2014,9:30:00 AM,246.72,115.476948,0.53,49.35,24.67,94.06
9/1/2014,10:00:00 AM,246.85,122.7943216,0.53,52.50,26.25,120.31
9/1/2014,10:30:00 AM,246.8,136.9216269,0.53,58.53,29.26,149.58
9/1/2014,11:00:00 AM,247.1,141.3626707,0.56,60.50,30.25,179.83
9/1/2014,11:30:00 AM,246.61,145.2363762,0.54,62.03,31.02,210.85
9/1/2014,12:00:00 PM,246.67,145.2136921,0.56,62.04,31.02,241.87
9/1/2014,12:30:00 PM,247.2,144.9245492,0.55,62.05,31.02,272.89
