Date,Time,Profile value
9/1/2014,12:00:00 AM,8.4
9/1/2014,12:30:00 AM,8.84
9/1/2014,1:00:00 AM,8.2
9/1/2014,1:30:00 AM,9.2
9/1/2014,2:00:00 AM,8.04
9/1/2014,2:30:00 AM,9.32
9/1/2014,3:00:00 AM,7.92
9/1/2014,3:30:00 AM,8.56
9/1/2014,4:00:00 AM,8.04
9/1/2014,4:30:00 AM,8.28
9/1/2014,5:00:00 AM,7.32
9/1/2014,5:30:00 AM,7.84
9/1/2014,6:00:00 AM,14.4
9/1/2014,6:30:00 AM,16.12
9/1/2014,7:00:00 AM,17.6
9/1/2014,7:30:00 AM,15.28
9/1/2014,8:00:00 AM,13.84
9/1/2014,8:30:00 AM,15.32
9/1/2014,9:00:00 AM,16.24
9/1/2014,9:30:00 AM,15.96
9/1/2014,10:00:00 AM,17.12
9/1/2014,10:30:00 AM,17.84
9/1/2014,11:00:00 AM,15.96
9/1/2014,11:30:00 AM,14.2
9/1/2014,12:00:00 PM,12.92
9/1/2014,12:30:00 PM,10.88
9/1/2014,1:00:00 PM,9.16
9/1/2014,1:30:00 PM,6.6
9/1/2014,2:00:00 PM,11.24
9/1/2014,2:30:00 PM,11.48
9/1/2014,3:00:00 PM,11.12
9/1/2014,3:30:00 PM,9.92
9/1/2014,4:00:00 PM,9.84
9/1/2014,4:30:00 PM,9.28
9/1/2014,5:00:00 PM,10.36
9/1/2014,5:30:00 PM,12.28
9/1/2014,6:00:00 PM,12.4
9/1/2014,6:30:00 PM,11.84
9/1/2014,7:00:00 PM,11
9/1/2014,7:30:00 PM,10.6
9/1/2014,8:00:00 PM,10.32
9/1/2014,8:30:00 PM,10
9/1/2014,9:00:00 PM,9.6
9/1/2014,9:30:00 PM,9.6
9/1/2014,10:00:00 PM,7.12
9/1/2014,10:30:00 PM,5.16
9/1/2014,11:00:00 PM,4.92
9/1/2014,11:30:00 PM,5.68
9/2/2014,12:00:00 AM,6.24
9/2/2014,12:30:00 AM,6.32
9/2/2014,1:00:00 AM,6.36
9/2/2014,1:30:00 AM,7.6
9/2/2014,2:00:00 AM,6.28
9/2/2014,2:30:00 AM,6.04
9/2/2014,3:00:00 AM,5.56
9/2/2014,3:30:00 AM,5.96
9/2/2014,4:00:00 AM,7.08
9/2/2014,4:30:00 AM,5.36
9/2/2014,5:00:00 AM,6.24
9/2/2014,5:30:00 AM,6.88
9/2/2014,6:00:00 AM,12
9/2/2014,6:30:00 AM,14.48
9/2/2014,7:00:00 AM,14.32
9/2/2014,7:30:00 AM,15.6
9/2/2014,8:00:00 AM,14.64
9/2/2014,8:30:00 AM,16.68
9/2/2014,9:00:00 AM,15.52
9/2/2014,9:30:00 AM,16.12
9/2/2014,10:00:00 AM,14.24
9/2/2014,10:30:00 AM,15.12
9/2/2014,11:00:00 AM,12.52
9/2/2014,11:30:00 AM,11.72
9/2/2014,12:00:00 PM,9.84
9/2/2014,12:30:00 PM,10.24
9/2/2014,1:00:00 PM,9.96
9/2/2014,1:30:00 PM,10.16
9/2/2014,2:00:00 PM,10.84
9/2/2014,2:30:00 PM,12.6
9/2/2014,3:00:00 PM,10.96
9/2/2014,3:30:00 PM,10.08
9/2/2014,4:00:00 PM,8.88
9/2/2014,4:30:00 PM,8.44
9/2/2014,5:00:00 PM,10.52
9/2/2014,5:30:00 PM,10.76
9/2/2014,6:00:00 PM,10.56
9/2/2014,6:30:00 PM,9.96
9/2/2014,7:00:00 PM,6.32
9/2/2014,7:30:00 PM,5.92
9/2/2014,8:00:00 PM,5.84
9/2/2014,8:30:00 PM,5.52
9/2/2014,9:00:00 PM,5.48
9/2/2014,9:30:00 PM,6.64
9/2/2014,10:00:00 PM,4.92
9/2/2014,10:30:00 PM,7.24
9/2/2014,11:00:00 PM,5.36
9/2/2014,11:30:00 PM,7.8
9/3/2014,12:00:00 AM,6.68
9/3/2014,12:30:00 AM,5.56
9/3/2014,1:00:00 AM,7.24
9/3/2014,1:30:00 AM,6.2
9/3/2014,2:00:00 AM,7.04
9/3/2014,2:30:00 AM,6.8
9/3/2014,3:00:00 AM,6.36
9/3/2014,3:30:00 AM,8.04
9/3/2014,4:00:00 AM,6.08
9/3/2014,4:30:00 AM,7.8
9/3/2014,5:00:00 AM,6.96
9/3/2014,5:30:00 AM,9.36
9/3/2014,6:00:00 AM,14.64
9/3/2014,6:30:00 AM,15.8
9/3/2014,7:00:00 AM,15.6
9/3/2014,7:30:00 AM,15.76
9/3/2014,8:00:00 AM,14.16
9/3/2014,8:30:00 AM,15.04
9/3/2014,9:00:00 AM,13.12
9/3/2014,9:30:00 AM,11.84
9/3/2014,10:00:00 AM,14.76
9/3/2014,10:30:00 AM,14.92
9/3/2014,11:00:00 AM,20.28
9/3/2014,11:30:00 AM,20.28
9/3/2014,12:00:00 PM,15
9/3/2014,12:30:00 PM,12.56
9/3/2014,1:00:00 PM,11.12
9/3/2014,1:30:00 PM,10.84
9/3/2014,2:00:00 PM,10.72
